# Copyright (C) 2026, Advanced Micro Devices, Inc. All rights reserved.
# SPDX-License-Identifier: MIT
key,family,device,problem_type,reason_to_close,techniques,route_wns_before,route_wns_after,max_cong,n_tcl,data_dir
TSR-973748,versal,XCVC1902,Customer Expectation Mismatch,Explanation provided,congestion|clock_skew_route,,,,0,http://jira.xilinx.com/public/bugcases/TSR/973000-973999/973748/
TSR-973971,versal,,QOR,Workaround Provided,ExtraNetDelay,,,,0,https://jira.xilinx.com/public/bugcases/TSR/973000-973999/973971/
TSR-974038,versal,xcvc1902,Customer Expectation Mismatch,Explanation provided,high_fanout|congestion|clock_skew_route,,,,0,https://jira.xilinx.com/public/bugcases/TSR/974000-974999/974038/
TSR-974127,versal,xcvc1902,QOR,Workaround Provided,congestion,,,,0,https://jira.xilinx.com/public/bugcases/TSR/974000-974999/974127/
TSR-974206,versal,,QOR,Workaround Provided,phys_opt|ExtraNetDelay|replication|congestion|block_inference,,,,0,https://jira.xilinx.com/public/bugcases/TSR/974000-974999/974206/
TSR-974297,unknown,,Debug/Test Assistance,No Customer Response,ExtraNetDelay|noc_qos,,,,0,https://jira.xilinx.com/public/bugcases/TSR/974000-974999/974297/
TSR-974454,versal,,QOR,Explanation provided,USER_CROSSING_SLR|phys_opt|congestion|clock_skew_route,,,,0,https://jira.xilinx.com/public/bugcases/TSR/974000-974999/974454/
TSR-974480,versal,xcvp1802,Customer Expectation Mismatch,Workaround Provided,pblock_floorplan|phys_opt|opt_directive|place_directive|route_directive|ExtraNetDelay|congestion|clock_skew_route|qor_suggestions,,,,15,https://jira.xilinx.com/public/bugcases/TSR/974000-974999/974480/
TSR-974829,versal,xcvc1902,Customer Expectation Mismatch,Workaround Provided,congestion|block_inference|clock_skew_route,,,,0,https://jira.xilinx.com/public/bugcases/TSR/974000-974999/974829/
TSR-975069,versal,xcvp1552,QOR,Workaround Provided,phys_opt|ExtraNetDelay|congestion|clock_skew_route,,,,2,https://jira.xilinx.com/public/bugcases/TSR/975000-975999/975069/
TSR-975381,versal,,QOR,Workaround Provided,USER_CLUSTER|pblock_floorplan|phys_opt|opt_directive|place_directive|route_directive|ExtraNetDelay|replication|high_fanout|congestion|block_inference|incremental|qor_suggestions|dont_touch,-0.28,0.0,,24,https://jira.xilinx.com/public/bugcases/TSR/975000-975999/975381/
TSR-975530,versal,xcvc1902,QOR,No Customer Response,ExtraNetDelay,,,,0,https://jira.xilinx.com/public/bugcases/TSR/975000-975999/975530/
TSR-975553,versal,xcvp1502,QOR,Workaround Provided,clock_uncertainty_OC|phys_opt|opt_directive|place_directive|route_directive|ExtraNetDelay,,,,8,https://jira.xilinx.com/public/bugcases/TSR/975000-975999/975553/
TSR-975801,versal,xcvh1782,QOR,No Customer Response,USER_CROSSING_SLR|SLR_assignment|pblock_floorplan|phys_opt|replication|high_fanout|congestion|block_inference,,,,5,https://jira.xilinx.com/public/bugcases/TSR/975000-975999/975801/
TSR-975804,versal,xcvh1542,QOR,Workaround Provided,SLR_assignment|phys_opt|congestion|block_inference|clock_skew_route|noc_qos|false_path_groups|dont_touch,-0.084,-0.084,,8,https://jira.xilinx.com/public/bugcases/TSR/975000-975999/975804/
TSR-975840,versal,XCVP1502,QOR,Workaround Provided,SLR_assignment|pblock_floorplan|clock_uncertainty_OC|phys_opt|ExtraNetDelay|congestion|block_inference|false_path_groups|dont_touch,,,,14,https://jira.xilinx.com/public/bugcases/TSR/975000-975999/975840/
TSR-975841,versal,,Debug/Test Assistance,Workaround Provided,pblock_floorplan|congestion|block_inference,,,,0,https://jira.xilinx.com/public/bugcases/TSR/975000-975999/975841/
TSR-975847,versal,,Information Accessibility,Explanation provided,congestion|clock_skew_route,,,,0,https://jira.xilinx.com/public/bugcases/TSR/975000-975999/975847/
TSR-975908,versal,,QOR,Patch provided,SLR_assignment|pblock_floorplan|congestion|block_inference|clock_skew_route|noc_qos,,,,0,https://jira.xilinx.com/public/bugcases/TSR/975000-975999/975908/
TSR-976094,versal,xcvp1802,QOR,Workaround Provided,USER_CLUSTER|SLR_assignment|pblock_floorplan|clock_uncertainty_OC|phys_opt|opt_directive|place_directive|route_directive|ExtraNetDelay|replication|high_fanout|congestion|block_inference|clock_skew_route|noc_qos|dont_touch,-0.046,0.0,,23,https://jira.xilinx.com/public/bugcases/TSR/976000-976999/976094/
TSR-976102,versal,,QOR,Explanation provided,congestion|block_inference,,,,0,https://jira.xilinx.com/public/bugcases/TSR/976000-976999/976102/
TSR-976151,versal,,QOR,No Customer Response,SLR_assignment|ExtraNetDelay|replication,,,,0,https://jira.xilinx.com/public/bugcases/TSR/976000-976999/976151/
TSR-976265,versal,xcvh1782,QOR,Explanation provided,,,,,0,https://jira.xilinx.com/public/bugcases/TSR/976000-976999/976265/
TSR-976314,versal,xcvp1502,QOR,Workaround Provided,high_fanout|congestion|block_inference,,,,0,https://jira.xilinx.com/public/bugcases/TSR/976000-976999/976314/
TSR-976316,versal,xcvp1502,QOR,Workaround Provided,congestion,,,,0,https://jira.xilinx.com/public/bugcases/TSR/976000-976999/976316/
TSR-976334,versal,xcvp1552,QOR,Explanation provided,USER_CLUSTER|SLR_assignment|pblock_floorplan|phys_opt|high_fanout|congestion|block_inference|clock_skew_route|noc_qos|incremental,,,,6,https://jira.xilinx.com/public/bugcases/TSR/976000-976999/976334/
TSR-976335,versal,xcvh1522,QOR,Explanation provided,ExtraNetDelay|replication|high_fanout|block_inference,,,,1,https://jira.xilinx.com/public/bugcases/TSR/976000-976999/976335/
TSR-976608,versal,,QOR,Explanation provided,congestion,,,,0,https://jira.xilinx.com/public/bugcases/TSR/976000-976999/976608/
